scenario,parameter,value,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap
idle=20% of max,idle_power_fraction,0.2,11,idle=20% of max,Optimal,13.760666400019545,1,250,11,6,5,0,1269.0608723958314,0.28842292554450716,1269.0608723958314,4.869171142578137,0.22132596102627897,6.938136782116354,0.48230098886617057,0.456,0.3264572551855377,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738757,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.41470740002114326,13.345958999998402,2761,3077,1,0.326,1,4.615295368104455e-10,0.32645725472400816,0.0
idle=30% of max,idle_power_fraction,0.3,11,idle=30% of max,Optimal,25.41533809999237,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.98503817558288,0.48556131496790056,0.456,0.3402760231104023,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.49906420000479557,24.916273899987573,2761,3077,1,0.339,1,9.172329562545656e-11,0.3402760232021256,0.0
idle=40% of max,idle_power_fraction,0.4,11,idle=40% of max,Optimal,15.004992900008801,1,250,11,6,5,0,1551.7956542968736,0.3526808305220167,1551.7956542968736,4.8683710098266735,0.22128959135575788,6.938136782116354,0.48230098886617057,0.456,0.3521495062753852,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738757,0.45550554448907987,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.4010908000054769,14.603902100003324,2761,3077,1,,1,2.8511693006549876e-10,0.3521495059902683,0.0
idle=50% of max,idle_power_fraction,0.5,11,idle=50% of max,Optimal,8.887562599993544,1,250,11,6,5,0,1693.1630452473948,0.38480978301077157,1693.1630452473948,4.868371009826673,0.22128959135575785,6.938136782116354,0.48230098886617057,0.456,0.3650010872708872,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.47257909999461845,8.414983499998925,2761,3077,1,,1,6.490222248523025e-10,0.365001086621865,0.0
idle=60% of max,idle_power_fraction,0.6,11,idle=60% of max,Optimal,13.2070799000212,1,250,11,6,5,0,1834.5304361979158,0.4169387354995263,1834.5304361979158,4.868371009826673,0.22128959135575785,6.939275557200109,0.48238015022695646,0.456,0.3778764166746248,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.6528378000075463,12.554242100013653,2761,3077,1,0.378,1,1.74951281239899e-09,0.377876414925112,0.0
idle=70% of max,idle_power_fraction,0.7,11,idle=70% of max,Optimal,4.782255700003589,1,250,11,6,5,0,1975.8978271484368,0.4490676879882811,1975.8978271484368,4.872865676879895,0.2214938944036316,6.938136782116354,0.48230098886617057,0.456,0.3907655401762531,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.5364882000139914,4.245767499989597,2761,3077,1,0.391,1,6.471946867314671e-10,0.3907655408234478,0.0
