scenario,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap,alpha,beta,gamma
"a=0.7,b=0.2,g=0.1",11,"a=0.7,b=0.2,g=0.1",Optimal,4.710780800000066,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.95088291168214,0.22504013234918815,6.938136782116354,0.48230098886617057,0.456,0.3176244399797381,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.2559818000008818,4.454798999999184,2761,3077,1,0.317,1,8.252898364702332e-12,0.317624439987991,0.0,0.7,0.2,0.1
"a=0.4,b=0.3,g=0.3",11,"a=0.4,b=0.3,g=0.3",Optimal,20.817796699964674,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.98503817558288,0.48556131496790056,0.456,0.3402760231104023,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.570375499984948,20.247421199979726,2761,3077,1,0.339,1,9.172329562545656e-11,0.3402760232021256,0.0,0.4,0.3,0.3
"a=0.2,b=0.2,g=0.6",11,"a=0.2,b=0.2,g=0.6",Optimal,5.130649700004142,1,250,11,11,0,0,2010.4282633463524,0.45691551439689826,2010.4282633463524,14.868371009826674,0.6758350459012125,2.688136782116355,0.18686443766344607,0.456,0.3386687746576898,0.4555055444890799,0.28038475730202345,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202345,54.44944555109201,0,0.0,0.0,11,114,0.4016719000064768,4.728977799997665,2761,3077,1,0.339,1,1.3290264444520972e-09,0.33866877332866335,0.0,0.2,0.2,0.6
"a=0.2,b=0.6,g=0.2",11,"a=0.2,b=0.6,g=0.2",Optimal,4.238242400024319,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.868371009826673,0.22128959135575785,6.938136782116354,0.48230098886617057,0.456,0.2933443281933412,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.28038475730202356,16.49065017700203,0,0.0,0.0,6,114,0.32940460002282634,3.9088378000014927,2761,3077,1,,1,1.4513473756139206e-10,0.29334432833847596,0.0,0.2,0.6,0.2
"a=1,b=0,g=0",11,"a=1,b=0,g=0",Optimal,2.6773405999992974,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.32055187803326196,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.6141453000018373,2.06319529999746,2761,3077,1,,1,1.6653345369377348e-16,0.3205518780332618,0.0,1.0,0.0,0.0
"a=0,b=1,g=0",11,"a=0,b=1,g=0",Optimal,3.614586900046561,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.22128959135575785,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.47101580002345145,3.1435711000231095,2761,3077,1,,1,1.5096285332916182e-10,0.2212895915067207,0.0,0.0,1.0,0.0
"a=0,b=0,g=1",11,"a=0,b=0,g=1",Optimal,1.0917974000039976,1,250,11,11,0,0,2010.4282633463527,0.4569155143968983,2010.4282633463527,14.89057731628419,0.6768444234674632,2.7116350597805425,0.1884979082781076,0.456,0.1884979082781076,0.4555055444890799,0.28038475730202356,0.766074874184348,0.14957662062211396,0.4555055444890799,0.28038475730202356,54.44944555109201,0,0.0,0.0,9,114,0.5460683999990579,0.5457290000049397,2761,3077,1,0.187,1,5.783227785549627e-10,0.1884979088564304,0.01,0.0,0.0,1.0
