vm_id,collection_id,instance_index,cluster,cpu_request,mem_request,avg_cpu,avg_mem,max_cpu,max_mem,priority,priority_band,priority_norm,scheduling_class,collection_type,failed,hard_failed,duration_s,start_time,end_time,n_events,orig_machine_id,assigned_memory,cycles_per_instruction
VM63011,314894065526,30122,8,0.0056686401367187,0.00262451171875,0.0,0.000101089477539,0.0,0.000101089477539,0,free,0.0,0,0,1,1,1.0,1359170000000,1359171000000,1,7605594757,0.00262451171875,2.7185258865356445
VM15810,294544747384,5391,8,0.0066070556640625,0.0052108764648437,0.000645637512207,0.0011253356933593498,0.00299072265625,0.0011615753173828,103,best_effort,0.2288888888888889,1,0,1,1,1173000.0,639900000000,1812900000000,2,527517941,0.0052108764648437,2.7370575666427612
VM231335,94589455457,134,4,0.0022239685058593,0.0002117156982421,0.0004434585571289,0.0001258850097656,0.0021553039550781,0.0001459121704101,0,free,0.0,2,0,1,1,265.0,2345100000000,2345365000000,1,428718688926,0.0002069473266601,1.66094708442688
VM228042,349011005158,1518,6,0.0048446655273437,0.0012569427490234,0.0040283203125,0.000833511352539,0.0095672607421875,0.000859260559082,103,best_effort,0.2288888888888889,0,0,0,0,300.0,1144800000000,1145100000000,1,17851695117,0.0012569427490234,0.7877823114395142
VM239353,326995722343,5109,8,0.0081024169921875,0.0036125183105468,0.0002698898315429,0.0006532669067382,0.0009765625,0.000655174255371,117,mid,0.26,1,0,0,0,108.0,2597700000000,2597808000000,1,10367643922,0.0036125183105468,2.593548059463501
VM207215,328029965942,26810,8,0.0056686401367187,0.00262451171875,0.0001602172851562,9.34600830078125e-05,0.0004806518554687,9.34600830078125e-05,0,free,0.0,0,0,0,0,3.0,2557599000000,2557602000000,1,10632575968,0.00262451171875,0.8859424591064453
VM37836,815322757780,42074,4,0.0081024169921875,0.0036125183105468,0.0133514404296875,0.0033645629882812,0.0714111328125,0.0036125183105468,0,free,0.0,0,0,0,0,300.0,2001900000000,2002200000000,1,264083256,0.0036125183105468,0.8808229565620422
VM67893,346556401280,12374,6,0.04119873046875,0.0104217529296875,0.0010490417480468,6.580352783203125e-05,0.013275146484375,6.961822509765625e-05,103,best_effort,0.2288888888888889,1,0,1,0,3.0,708228000000,708231000000,1,90898976329,0.0104217529296875,0.9983146786689758
VM200078,495482530643,532,2,0.0181884765625,0.0013027191162109,0.0139007568359375,0.020660400390625,0.03338623046875,0.022064208984375,360,monitoring,0.8,2,0,0,0,300.0,1533600000000,1533900000000,2,36928698640,0.0,1.071237325668335
VM216110,288497456405,1580,6,0.0081024169921875,0.0038566589355468,0.0003786087036132,0.001953125,0.0050048828125,0.0019645690917968,200,production,0.4444444444444444,3,0,0,0,300.0,2546100000000,2546400000000,1,17782273856,0.0,3.1568944454193115
VM91755,294544747384,9055,8,0.0066070556640625,0.0052108764648437,0.0008907318115234,0.0010910034179687,0.00299072265625,0.0011062622070312,103,best_effort,0.2288888888888889,1,0,0,0,300.0,1812600000000,1812900000000,1,10621286691,0.0052108764648437,2.847310781478882
VM161546,286009842879,5134,8,0.0081787109375,0.008819580078125,0.0009784698486328,0.0047378540039062,0.0091705322265625,0.008819580078125,200,production,0.4444444444444444,3,1,1,1,300.0,578400000000,578700000000,1,1511278750,0.005096435546875,
VM57248,65029579,1210,7,0.093505859375,0.0390625,0.066162109375,0.02191162109375,0.150146484375,0.02203369140625,360,monitoring,0.8,2,1,0,0,300.0,2595000000000,2595300000000,1,170196776045,0.0390625,
VM205786,315267875638,2345,6,0.0124969482421875,0.0019721984863281,0.0015602111816406,0.0011768341064453,0.0082244873046875,0.0012531280517578,0,free,0.0,0,0,0,0,300.0,36900000000,37200000000,1,23076853175,0.00390625,1.1321032047271729
VM64946,383128227073,833,1,0.0025520324707031,0.0016555786132812,0.0043563842773437,0.0014686584472656,0.004669189453125,0.0014686584472656,107,best_effort,0.23777777777777778,0,0,1,0,3.0,1064173000000,1064176000000,1,1146136326,0.0016555786132812,
VM36161,495141171236,371,2,0.01629638671875,0.0034904479980468,0.0014362335205078,0.0025253295898437,0.008636474609375,0.0025291442871093,116,mid,0.2577777777777778,0,1,0,0,300.0,1665300000000,1665600000000,1,231290763141,0.0033187866210937,
VM204277,219840706319,450,5,0.0455322265625,0.0054702758789062,0.04656982421875,0.00244140625,0.08203125,0.0026969909667968,103,best_effort,0.2288888888888889,0,0,0,0,27.0,150600000000,150627000000,1,50510772,0.0054702758789062,
VM114659,299995986371,49282,7,0.0056686401367187,0.00262451171875,0.0032477378845214844,0.0006604194641112969,0.0147705078125,0.0014114379882812,0,free,0.0,0,0,1,1,42743.0,2572357000000,2615100000000,2,85536527,0.00262451171875,2.0235418677330017
VM128985,294544747384,6950,8,0.0066070556640625,0.0052108764648437,0.0008907318115234,0.0010910034179687,0.00299072265625,0.0011062622070312,103,best_effort,0.2288888888888889,1,0,0,0,300.0,1812600000000,1812900000000,2,258565651004,0.0052108764648437,2.847310781478882
VM31876,286009855219,5606,8,0.029052734375,0.0045700073242187,0.0007181167602539,0.0041580200195312,0.0024757385253906,0.0041580200195312,200,production,0.4444444444444444,3,0,0,0,300.0,1676700000000,1677000000000,1,300551835764,0.0,3.436630249023437
VM117956,374675984600,1568,1,0.03485107421875,0.0057296752929687,0.0020408630371093,0.0042343139648437,0.06036376953125,0.0057296752929687,105,best_effort,0.23333333333333334,1,0,1,1,300.0,414300000000,414600000000,3,360238111049,0.0057296752929687,1.412593126296997
VM168947,228360594015,4127,5,0.0056686401367187,0.0015621185302734,0.008941650390625,0.0014171600341796,0.0277099609375,0.0015621185302734,117,mid,0.26,1,0,1,1,300.0,1590000000000,1590300000000,1,28757613396,0.0015621185302734,0.9077212810516356
VM161079,96110857594,1534,6,0.029052734375,0.0045700073242187,0.0022544860839843,0.0040359497070312,0.0103302001953125,0.0040512084960937,200,production,0.4444444444444444,3,0,0,0,300.0,1927500000000,1927800000000,1,2051357482,0.0,2.565548658370972
VM53175,93247928673,17604,6,0.0020256042480468,0.0015621185302734,0.025421142578125,0.0078277587890625,0.0826416015625,0.008544921875,200,production,0.4444444444444444,3,0,0,0,300.0,994500000000,994800000000,1,10033930376,0.0106201171875,0.5822352170944214
VM55479,380756887859,341,1,0.0063400268554687,0.0065078735351562,0.0001068115234375,0.0001173019409179,0.0004558563232421,0.0001192092895507,105,best_effort,0.23333333333333334,0,0,1,0,3.0,585973000000,585976000000,1,21169269,0.0065078735351562,
VM35926,349011005158,2819,6,0.0048446655273437,0.0012569427490234,0.0040283203125,0.000833511352539,0.0095672607421875,0.000859260559082,103,best_effort,0.2288888888888889,0,0,0,0,300.0,1144800000000,1145100000000,1,2631721668,0.0012569427490234,0.7877823114395142
VM76060,321922619420,37,8,0.0164794921875,0.021728515625,0.02655029296875,0.001953125,0.05621337890625,0.0019683837890625,103,best_effort,0.2288888888888889,0,0,0,0,300.0,1446900000000,1447200000000,1,10367632517,0.021087646484375,1.5587173700332642
VM45028,77793008192,998,6,0.0015850067138671,0.0003738403320312,0.0004901885986328,0.0001802444458007,0.0015525817871093,0.0002040863037109,103,best_effort,0.2288888888888889,2,0,0,0,300.0,2666100000000,2666400000000,1,93726885719,0.0003852844238281,2.185142993927002
VM171322,157857385389,831,8,0.0322265625,0.1041259765625,0.0054397583007812,0.129638671875,0.05572509765625,0.129638671875,103,best_effort,0.2288888888888889,1,0,0,0,300.0,1580400000000,1580700000000,1,527532266,0.1875,4.109884738922119
VM128658,77793016507,2029,6,0.0016460418701171,0.0003242492675781,0.0009412765502929,0.0002346038818359,0.0031471252441406,0.0002479553222656,103,best_effort,0.2288888888888889,2,0,1,1,300.0,2314500000000,2314800000000,1,10047839727,0.0004034042358398,1.3456554412841797
VM94031,261356905709,124,7,0.011016845703125,0.0013027191162109,0.011505126953125,0.006629943847656199,0.04901123046875,0.0099639892578125,360,monitoring,0.8,2,0,1,0,300.0,2475300000000,2475600000000,3,10449204296,0.0,0.9741879105567932
VM81436,282155362497,6,7,0.0081024169921875,0.0018234252929687,0.0,0.0004348754882812,0.0,0.0004348754882812,0,free,0.0,0,0,0,0,1.0,829127000000,829128000000,1,21323,0.0018234252929687,
VM123424,348791680371,484,6,0.018402099609375,0.0013027191162109,0.0596923828125,0.0079498291015625,0.0673828125,0.0082855224609375,360,monitoring,0.8,2,0,1,0,300.0,1283400000000,1283700000000,1,19372412783,0.0,0.4001486897468567
VM37751,370794992322,246,6,0.0081024169921875,0.0078125,0.0,0.0001354217529296,0.0,0.0001354217529296,0,free,0.0,0,0,0,0,1.0,2619100000000,2619101000000,2,5674073955,0.0078125,0.7140194773674011
VM140007,328029965942,63668,8,0.0056686401367187,0.00262451171875,0.0001602172851562,9.34600830078125e-05,0.0004806518554687,9.34600830078125e-05,0,free,0.0,0,0,0,0,3.0,2557599000000,2557602000000,1,325189292034,0.00262451171875,0.8859424591064453
VM173448,294544747384,3125,8,0.0066070556640625,0.0052108764648437,0.0004005432128906,0.00115966796875,0.0012016296386718,0.0011615753173828,103,best_effort,0.2288888888888889,1,0,1,1,300.0,639900000000,640200000000,1,527532334,0.0052108764648437,2.6268043518066406
VM44256,498620479395,463,2,0.01629638671875,0.0088653564453125,0.0006904602050781,0.0024986267089843,0.0095672607421875,0.0025177001953125,116,mid,0.2577777777777778,0,1,0,0,300.0,2295900000000,2296200000000,1,38988659588,0.0088653564453125,
VM15968,136674897106,409,4,0.0018482208251953,0.0002937316894531,0.0004692077636718,0.00018310546875,0.002197265625,0.0001907348632812,200,production,0.4444444444444444,2,0,0,0,300.0,2242200000000,2242500000000,2,5567572263,0.0002965927124023,1.437846302986145
VM36155,497914629584,3757,2,0.00616455078125,0.0042572021484375,0.000457763671875,0.0023918151855468,0.008392333984375,0.0023918151855468,103,best_effort,0.2288888888888889,1,0,1,0,300.0,2029200000000,2029500000000,1,32347210125,0.0034980773925781,4.002481937408447
VM28017,228864253096,276,5,0.104736328125,0.0390625,0.085205078125,0.0230712890625,0.27197265625,0.02325439453125,360,monitoring,0.8,2,1,0,0,300.0,1618500000000,1618800000000,1,42834630122,0.041015625,
VM224046,455759122797,289,2,0.0076828002929687,0.0072250366210937,0.0037651062011718,0.0052261352539062,0.008453369140625,0.0052337646484375,103,best_effort,0.2288888888888889,2,0,1,0,300.0,93000000000,93300000000,1,16569120575,0.0072250366210937,1.4197988510131836
VM226647,605518216077,1306,4,0.0074844360351562,0.0078277587890625,0.0027122497558593,0.0029220581054687,0.0048065185546875,0.0029258728027343,200,production,0.4444444444444444,1,0,0,0,300.0,95700000000,96000000000,1,3648199110,0.0078277587890625,4.804504871368408
VM77718,358931119334,144,6,0.0018482208251953,0.0012702941894531,0.0010910034179687,0.0009822845458984,0.0043869018554687,0.0009841918945312,103,best_effort,0.2288888888888889,0,0,0,0,295.0,1504505000000,1504800000000,1,9985747283,0.0012702941894531,3.5624489784240723
VM222636,457357241199,387,2,0.0014095306396484,0.0083465576171875,0.0007152557373046,0.0030517578125,0.0107574462890625,0.0030632019042968,103,best_effort,0.2288888888888889,0,0,1,0,300.0,229500000000,229800000000,1,140561880,0.0052108764648437,1.822169303894043
