n_vms,n_servers,binary_vars,constraints,status,runtime_s,build_time_s,solve_time_s,n_active_servers,objective,milp_solution_used,mip_gap,lower_bound,proven_optimal
50,3,153,221,Optimal,0.20019780000438914,0.02558590000262484,0.1746119000017643,1,0.2269482146593675,1,0.0,,1
100,4,404,528,Optimal,0.3418911999906413,0.06296069998643361,0.2789305000042077,2,0.3234163994269052,1,0.0,,1
150,6,906,1092,Optimal,0.6129339000035543,0.1394399999990128,0.4734939000045415,3,0.3285497877226905,1,0.0,0.328,1
200,9,1809,2063,Optimal,1.844840000005206,0.29881229999591596,1.5460277000092901,5,0.3320093484143254,1,0.01,0.33,1
300,13,3913,4291,Optimal,85.02917900000466,0.8047857999918051,84.22439320001286,7,0.3355219996565416,1,0.0,,1
375,16,6016,6487,Optimal,151.62561200000346,1.1347202000033576,150.4908918000001,8,0.32542021909464924,1,0.0,,1
400,17,6817,7319,Feasible (time limit),213.47032989998115,1.5787221000064164,211.89160779997474,9,0.34739943341807755,1,0.02,0.342,0
