method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,objective_value,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,mip_gap,energy_vs_first_pct
First-Fit,ok,0.0017265999922528863,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.868371009826673,0.22128959135575785,7.768614653481372,0.5400312284347025,0.456,0.35661699715044287,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.35661699715044287,,,,,,,,,,100.0
Best-Fit,ok,0.0036065999884158373,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.868371009826673,0.22128959135575785,7.768614653481372,0.5400312284347025,0.456,0.35661699715044287,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.35661699715044287,,,,,,,,,,100.0
First-Fit-Decreasing,ok,0.0022981000074651092,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.689512630038786,0.5345324921996356,0.456,0.3549673762799228,0.8350934982299799,0.5140387217203765,1.404470602671305,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,5,114,0.3549673762799228,,,,,,,,,,100.00000000000003
Trace-Original,ok,0.001142900000559166,1,250,11,11,0,0,2010.4282633463527,0.4569155143968983,2010.4282633463527,14.985608100891124,0.6811640045859602,3.777133615281843,0.2625654891131168,0.456,0.46588505386848245,0.4555055444890799,0.2803847573020235,0.766074874184348,0.14957662062211394,0.4555055444890799,0.2803847573020235,54.44944555109201,0,0.0,0.0,8,114,0.46588505386848245,,,,,,,,,,142.540270610889
MILP,Optimal,20.677458199992543,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.98503817558288,0.48556131496790056,0.456,0.3402760231104023,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.3402760232021256,0.12992559999111108,20.547532600001432,2761.0,3077.0,1.0,0.339,1.0,9.172329562545656e-11,0.0,100.00000000000003
