scenario,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap,alpha,beta,gamma,parameter,value,total_cpu_demand,total_mem_demand
n_vms=125,5,n_vms=125,Optimal,0.44206000000122003,1,125,5,3,2,0,729.0759150187166,0.3645379575093583,729.0759150187166,1.9061322212219296,0.19061322212219295,3.6494940206739606,0.4900329777765953,0.456,0.3500090429733798,0.803153991699218,0.642030398050943,1.4832763671874993,0.30974165598551295,0.4818923950195308,0.3852182388305658,19.684600830078203,0,0.0,0.0,3,57,0.13829719999921508,0.30376280000200495,630,785,1,,1,1.1101468633256673e-09,0.3500090440835267,0.0,0.4,0.3,0.3,n_vms,125,2.4094619750976536,1.926091194152829
n_vms=187,8,n_vms=187,Optimal,1.1045974999724422,1,187,8,4,4,0,978.3266703287748,0.3057270844777421,978.3266703287748,2.6691269874572847,0.1668204367160803,4.983039085600106,0.4996546413381332,0.44919786096256686,0.3222333572073609,0.8996682167053214,0.5885894298553453,1.454084873199462,0.28547000885009616,0.4498341083526607,0.2942947149276727,10.033178329467862,0,0.0,0.0,4,84,0.20503079998889007,0.8995666999835521,1504,1739,1,,1,1.3516782138012218e-10,0.3222333573425287,0.0,0.4,0.3,0.3,n_vms,187,3.598672866821286,2.354357719421382
n_vms=250,11,n_vms=250,Optimal,23.25991399999475,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.98503817558288,0.48556131496790056,0.456,0.3402760231104023,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.5716995999973733,22.688214399997378,2761,3077,1,0.339,1,9.172329562545656e-11,0.3402760232021256,0.0,0.4,0.3,0.3,n_vms,250,5.010560989379879,3.0842323303222585
n_vms=375,16,n_vms=375,Optimal,120.50021479997667,1,375,16,8,8,0,1956.566289265948,0.30571348269780435,1956.566289265948,5.880905628204365,0.1837783008813864,9.68670115152994,0.4933377858370386,0.4613333333333333,0.32542021909464924,0.9478679895400993,0.5273036956787096,1.4522212743759149,0.2732268571853623,0.47393399477004966,0.2636518478393548,5.213201045990068,0,0.0,0.0,8,173,0.9093647999980021,119.59084999997867,6016,6487,1,,1,1.978470720587211e-10,0.3254202192924963,0.0,0.4,0.3,0.3,n_vms,375,7.582943916320794,4.218429565429677
