scenario,n_servers_in_fleet,method,status,runtime_s,placement_valid,n_vms,n_servers_available,n_active_servers,n_inactive_servers,n_unplaced_vms,energy_wh,energy_normalised,mean_power_w,wastage,wastage_normalised,qos_overcommit,qos_normalised,qos_failure_proxy,weighted_objective,cpu_util_active_mean,mem_util_active_mean,cpu_util_peak_active_mean,mem_util_peak_active_mean,cpu_util_fleet,mem_util_fleet,wastage_pct_active,n_capacity_violations,total_cpu_overflow,total_mem_overflow,n_servers_over_threshold,failed_vms,build_time_s,solve_time_s,n_binary_vars,n_constraints,milp_solution_used,milp_lower_bound,milp_proven_optimal,objective_mismatch,objective_value,mip_gap,alpha,beta,gamma,parameter,value
safety_threshold=0.6,11,safety_threshold=0.6,Optimal,30.241383400018094,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,8.438136782116354,0.5865727128200734,0.456,0.3705794424660541,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.28038475730202356,16.49065017700203,0,0.0,0.0,6,114,0.4505650000064634,29.79081840001163,2761,3077,1,,1,5.049693441172565e-10,0.3705794419610848,0.0,0.4,0.3,0.3,safety_threshold,0.6
safety_threshold=0.7,11,safety_threshold=0.7,Optimal,24.755172199977096,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.869306564331067,0.22133211656050306,7.838136782116354,0.5448640232385122,0.456,0.3580795931530094,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.39149469998665154,24.363677499990445,2761,3077,1,0.358,1,1.1111692121978933e-09,0.3580795920418402,0.0,0.4,0.3,0.3,safety_threshold,0.7
safety_threshold=0.8,11,safety_threshold=0.8,Optimal,12.313550799968652,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,7.238136782116355,0.5031553336569512,0.456,0.3455542287171175,0.8350934982299797,0.5140387217203765,1.4044706026713045,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.4454546999768354,11.868096099991817,2761,3077,1,,1,1.3126701392529583e-09,0.34555422740444736,0.0,0.4,0.3,0.3,safety_threshold,0.8
safety_threshold=0.85,11,safety_threshold=0.85,Optimal,27.310316700022668,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.98503817558288,0.48556131496790056,0.456,0.3402760231104023,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,5,114,0.534205000003567,26.7761117000191,2761,3077,1,0.339,1,9.172329562545656e-11,0.3402760232021256,0.0,0.4,0.3,0.3,safety_threshold,0.85
safety_threshold=0.9,11,safety_threshold=0.9,Optimal,18.989611099998,1,250,11,6,5,0,1410.4282633463524,0.3205518780332619,1410.4282633463524,4.868371009826673,0.22128959135575785,6.638136782116355,0.4614466440753901,0.456,0.3330416218426491,0.8350934982299799,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.4555055444890799,0.2803847573020235,16.49065017700201,0,0.0,0.0,6,114,0.389643900009105,18.599967199988896,2761,3077,1,,1,3.218127986315267e-10,0.3330416221644619,0.0,0.4,0.3,0.3,safety_threshold,0.9
safety_threshold=1.0,11,safety_threshold=1.0,Optimal,19.07687549997354,1,250,11,6,5,0,1410.4282633463527,0.32055187803326196,1410.4282633463527,4.868371009826673,0.22128959135575785,6.038136782116354,0.4197379544938289,0.456,0.3205290149681808,0.8350934982299797,0.5140387217203765,1.4044706026713047,0.2742238044738756,0.45550554448907987,0.2803847573020235,16.49065017700203,0,0.0,0.0,6,114,0.45001659999252297,18.626858899981016,2761,3077,1,,1,1.4373585099924924e-09,0.3205290135308223,0.0,0.4,0.3,0.3,safety_threshold,1.0
